year,month,state,value
2021,December,Massachusetts,3.6
2021,November,Massachusetts,3.8
2021,October,Massachusetts,4.2
2021,September,Massachusetts,4.7
2021,August,Massachusetts,5.2
2021,July,Massachusetts,5.7
2021,June,Massachusetts,6.1
2021,May,Massachusetts,5.7
2021,April,Massachusetts,6.0
2021,March,Massachusetts,6.7
2021,February,Massachusetts,7.2
2021,January,Massachusetts,7.7
2020,December,Massachusetts,7.5
2020,November,Massachusetts,7.7
2020,October,Massachusetts,8.2
2020,September,Massachusetts,9.9
2020,August,Massachusetts,10.3
2020,July,Massachusetts,12.9
2020,June,Massachusetts,14.4
2020,May,Massachusetts,15.6
2020,April,Massachusetts,16.5
2020,March,Massachusetts,3.4
2020,February,Massachusetts,3.1
2020,January,Massachusetts,3.4
2023,October,Michigan,4.2
2023,September,Michigan,3.9
2023,August,Michigan,4.2
2023,July,Michigan,4.3
2023,June,Michigan,4.1
2023,May,Michigan,3.8
2023,April,Michigan,2.9
2023,March,Michigan,4.1
2023,February,Michigan,4.6
2023,January,Michigan,4.8
2022,December,Michigan,3.8
2022,November,Michigan,3.5
2022,October,Michigan,3.7
2022,September,Michigan,3.8
2022,August,Michigan,4.3
2022,July,Michigan,4.5
2022,June,Michigan,4.4
2022,May,Michigan,4.1
2022,April,Michigan,4.0
2022,March,Michigan,4.5
2022,February,Michigan,4.9
2022,January,Michigan,5.0
2021,December,Michigan,4.0
2021,November,Michigan,3.8
2021,October,Michigan,4.4
2021,September,Michigan,5.1
2021,August,Michigan,6.1
2021,July,Michigan,6.7
2021,June,Michigan,6.7
2021,May,Michigan,6.3
2021,April,Michigan,6.2
2021,March,Michigan,6.6
2021,February,Michigan,6.8
2021,January,Michigan,7.1
2020,December,Michigan,7.1
2020,November,Michigan,6.3
2020,October,Michigan,6.6
2020,September,Michigan,8.3
2020,August,Michigan,9.5
2020,July,Michigan,12.6
2020,June,Michigan,14.6
2020,May,Michigan,19.7
2020,April,Michigan,22.6
2020,March,Michigan,4.8
2020,February,Michigan,3.8
2020,January,Michigan,4.2
2023,October,Minnesota,2.7
2023,September,Minnesota,2.6
2023,August,Minnesota,3.2
2023,July,Minnesota,3.2
2023,June,Minnesota,3.4
2023,May,Minnesota,2.9
2023,April,Minnesota,2.9
2023,March,Minnesota,3.1
2023,February,Minnesota,3.6
2023,January,Minnesota,3.3
2022,December,Minnesota,3.2
2022,November,Minnesota,2.5
2022,October,Minnesota,2.2
2022,September,Minnesota,2.2
2022,August,Minnesota,2.7
2022,July,Minnesota,2.5
2022,June,Minnesota,2.7
2022,May,Minnesota,2.2
2022,April,Minnesota,2.2
2022,March,Minnesota,3.1
2022,February,Minnesota,3.2
2022,January,Minnesota,3.7
2021,December,Minnesota,2.9
2021,November,Minnesota,2.5
2021,October,Minnesota,2.7
2021,September,Minnesota,3.1
2021,August,Minnesota,3.5
2021,July,Minnesota,3.6
2021,June,Minnesota,4.3
2021,May,Minnesota,3.6
2021,April,Minnesota,4.1
2021,March,Minnesota,4.8
2021,February,Minnesota,4.9
2021,January,Minnesota,5.4
2020,December,Minnesota,5.0
2020,November,Minnesota,4.3
2020,October,Minnesota,4.8
2020,September,Minnesota,5.7
2020,August,Minnesota,6.3
2020,July,Minnesota,7.9
2020,June,Minnesota,8.8
2020,May,Minnesota,11.0
2020,April,Minnesota,8.6
2020,March,Minnesota,4.9
2020,February,Minnesota,3.8
2020,January,Minnesota,4.0
2023,October,Mississippi,2.8
2023,September,Mississippi,3.1
2023,August,Mississippi,3.9
2023,July,Mississippi,4.0
2023,June,Mississippi,4.0
2023,May,Mississippi,3.0
2023,April,Mississippi,2.7
2023,March,Mississippi,3.1
2023,February,Mississippi,3.2
2023,January,Mississippi,3.5
2022,December,Mississippi,3.3
2022,November,Mississippi,3.5
2022,October,Mississippi,3.5
2022,September,Mississippi,3.8
2022,August,Mississippi,4.1
2022,July,Mississippi,4.6
2022,June,Mississippi,4.7
2022,May,Mississippi,3.7
2022,April,Mississippi,3.5
2022,March,Mississippi,3.5
2022,February,Mississippi,4.2
2022,January,Mississippi,4.6
2021,December,Mississippi,3.5
2021,November,Mississippi,3.7
2021,October,Mississippi,4.1
2021,September,Mississippi,4.7
2021,August,Mississippi,5.5
2021,July,Mississippi,6.3
2021,June,Mississippi,6.9
2021,May,Mississippi,5.9
2021,April,Mississippi,5.7
2021,March,Mississippi,6.2
2021,February,Mississippi,6.5
2021,January,Mississippi,6.6
2020,December,Mississippi,6.2
2020,November,Mississippi,6.2
2020,October,Mississippi,6.1
2020,September,Mississippi,7.1
2020,August,Mississippi,7.2
2020,July,Mississippi,9.3
2020,June,Mississippi,10.2
2020,May,Mississippi,11.5
2020,April,Mississippi,14.9
2020,March,Mississippi,6.7
2020,February,Mississippi,5.4
2020,January,Mississippi,5.5
2023,October,Missouri,3.2
2023,September,Missouri,2.6
2023,August,Missouri,3.4
2023,July,Missouri,3.4
2023,June,Missouri,3.3
2023,May,Missouri,2.9
2023,April,Missouri,2.4
2023,March,Missouri,2.7
2023,February,Missouri,2.7
2023,January,Missouri,2.8
2022,December,Missouri,2.2
2022,November,Missouri,2.3
2022,October,Missouri,2.3
2022,September,Missouri,2.0
2022,August,Missouri,2.8
2022,July,Missouri,2.7
2022,June,Missouri,2.3
2022,May,Missouri,2.3
2022,April,Missouri,2.0
2022,March,Missouri,2.8
2022,February,Missouri,3.1
2022,January,Missouri,3.3
2021,December,Missouri,2.7
2021,November,Missouri,2.7
2021,October,Missouri,2.9
2021,September,Missouri,3.1
2021,August,Missouri,4.1
2021,July,Missouri,4.3
2021,June,Missouri,4.7
2021,May,Missouri,4.6
2021,April,Missouri,4.3
2021,March,Missouri,4.9
2021,February,Missouri,5.3
2021,January,Missouri,5.4
2020,December,Missouri,4.9
2020,November,Missouri,4.6
2020,October,Missouri,4.4
2020,September,Missouri,5.2
2020,August,Missouri,6.4
2020,July,Missouri,8.1
2020,June,Missouri,8.6
2020,May,Missouri,9.8
2020,April,Missouri,10.6
2020,March,Missouri,4.0
2020,February,Missouri,3.4
2020,January,Missouri,3.7
2023,October,Montana,2.9
2023,September,Montana,2.4
2023,August,Montana,2.5
2023,July,Montana,2.4
2023,June,Montana,2.7
2023,May,Montana,2.4
2023,April,Montana,2.4
2023,March,Montana,2.8
2023,February,Montana,2.8
2023,January,Montana,3.0
2022,December,Montana,2.6
2022,November,Montana,2.3
2022,October,Montana,2.2
2022,September,Montana,2.0
2022,August,Montana,2.5
2022,July,Montana,2.5
2022,June,Montana,2.8
2022,May,Montana,2.4
2022,April,Montana,2.7
2022,March,Montana,3.1
2022,February,Montana,3.2
2022,January,Montana,3.6
2021,December,Montana,2.7
2021,November,Montana,2.5
2021,October,Montana,2.5
2021,September,Montana,2.3
2021,August,Montana,3.0
2021,July,Montana,3.2
2021,June,Montana,3.7
2021,May,Montana,3.1
2021,April,Montana,3.7
2021,March,Montana,4.3
2021,February,Montana,4.7
2021,January,Montana,4.9
2020,December,Montana,4.4
2020,November,Montana,4.1
2020,October,Montana,4.0
2020,September,Montana,4.6
2020,August,Montana,5.2
2020,July,Montana,6.6
2020,June,Montana,7.4
2020,May,Montana,8.8
2020,April,Montana,11.8
2020,March,Montana,4.7
2020,February,Montana,4.1
2020,January,Montana,4.5
2023,October,Nebraska,2.3
2023,September,Nebraska,2.0
2023,August,Nebraska,1.9
2023,July,Nebraska,2.3
2023,June,Nebraska,2.5
2023,May,Nebraska,2.1
2023,April,Nebraska,1.8
2023,March,Nebraska,2.0
2023,February,Nebraska,2.2
2023,January,Nebraska,2.2
2022,December,Nebraska,2.3
2022,November,Nebraska,2.2
2022,October,Nebraska,2.3
2022,September,Nebraska,2.2
2022,August,Nebraska,2.5
2022,July,Nebraska,2.6
2022,June,Nebraska,2.6
2022,May,Nebraska,2.1
2022,April,Nebraska,2.0
2022,March,Nebraska,2.3
2022,February,Nebraska,2.4
2022,January,Nebraska,2.6
2021,December,Nebraska,1.8
2021,November,Nebraska,1.8
2021,October,Nebraska,2.1
2021,September,Nebraska,2.2
2021,August,Nebraska,2.6
2021,July,Nebraska,2.9
2021,June,Nebraska,3.2
2021,May,Nebraska,2.7
2021,April,Nebraska,2.8
2021,March,Nebraska,3.2
2021,February,Nebraska,3.5
2021,January,Nebraska,3.6
2020,December,Nebraska,2.9
2020,November,Nebraska,2.6
2020,October,Nebraska,2.6
2020,September,Nebraska,3.3
2020,August,Nebraska,3.6
2020,July,Nebraska,4.8
2020,June,Nebraska,5.5
2020,May,Nebraska,6.5
2020,April,Nebraska,7.9
2020,March,Nebraska,5.1
2020,February,Nebraska,3.2
2020,January,Nebraska,3.4
2023,October,Nevada,5.1
2023,September,Nevada,5.4
2023,August,Nevada,5.8
2023,July,Nevada,5.8
2023,June,Nevada,5.7
2023,May,Nevada,5.3
2023,April,Nevada,5.2
2023,March,Nevada,5.4
2023,February,Nevada,5.7
2023,January,Nevada,5.6
2022,December,Nevada,5.1
2022,November,Nevada,5.3
2022,October,Nevada,5.4
2022,September,Nevada,5.3
2022,August,Nevada,5.7
2022,July,Nevada,5.5
2022,June,Nevada,5.6
2022,May,Nevada,5.2
2022,April,Nevada,5.2
2022,March,Nevada,5.2
2022,February,Nevada,5.4
2022,January,Nevada,5.8
2021,December,Nevada,5.0
2021,November,Nevada,5.2
2021,October,Nevada,5.5
2021,September,Nevada,5.8
2021,August,Nevada,6.6
2021,July,Nevada,7.0
2021,June,Nevada,7.4
2021,May,Nevada,7.0
2021,April,Nevada,7.8
2021,March,Nevada,8.0
2021,February,Nevada,8.6
2021,January,Nevada,9.3
2020,December,Nevada,9.5
2020,November,Nevada,9.9
2020,October,Nevada,10.7
2020,September,Nevada,12.8
2020,August,Nevada,13.8
2020,July,Nevada,17.2
2020,June,Nevada,19.1
2020,May,Nevada,25.0
2020,April,Nevada,30.3
2020,March,Nevada,7.7
2020,February,Nevada,4.2
2020,January,Nevada,4.5
2023,October,New Hampshire,2.1
2023,September,New Hampshire,2.4
2023,August,New Hampshire,2.3
2023,July,New Hampshire,1.9
2023,June,New Hampshire,1.8
2023,May,New Hampshire,1.5
2023,April,New Hampshire,1.2
2023,March,New Hampshire,2.2
2023,February,New Hampshire,2.4
2023,January,New Hampshire,3.1
2022,December,New Hampshire,2.5
2022,November,New Hampshire,2.7
2022,October,New Hampshire,2.6
2022,September,New Hampshire,2.6
2022,August,New Hampshire,2.7
2022,July,New Hampshire,2.4
2022,June,New Hampshire,2.4
2022,May,New Hampshire,2.1
2022,April,New Hampshire,2.2
2022,March,New Hampshire,2.5
2022,February,New Hampshire,2.6
2022,January,New Hampshire,2.9
2021,December,New Hampshire,2.1
2021,November,New Hampshire,2.3
2021,October,New Hampshire,2.5
2021,September,New Hampshire,2.8
2021,August,New Hampshire,3.1
2021,July,New Hampshire,3.4
2021,June,New Hampshire,3.6
2021,May,New Hampshire,3.4
2021,April,New Hampshire,3.9
2021,March,New Hampshire,4.4
2021,February,New Hampshire,4.6
2021,January,New Hampshire,4.7
2020,December,New Hampshire,4.3
2020,November,New Hampshire,4.4
2020,October,New Hampshire,4.7
2020,September,New Hampshire,5.9
2020,August,New Hampshire,6.4
2020,July,New Hampshire,8.3
2020,June,New Hampshire,9.4
2020,May,New Hampshire,12.0
2020,April,New Hampshire,15.9
2020,March,New Hampshire,3.4
2020,February,New Hampshire,2.9
2020,January,New Hampshire,3.1
2023,October,New Jersey,4.4
2023,September,New Jersey,4.6
2023,August,New Jersey,5.1
2023,July,New Jersey,4.7
2023,June,New Jersey,4.5
2023,May,New Jersey,3.8
2023,April,New Jersey,3.1
2023,March,New Jersey,3.8
2023,February,New Jersey,4.1
2023,January,New Jersey,4.0
2022,December,New Jersey,3.1
2022,November,New Jersey,3.1
2022,October,New Jersey,3.0
2022,September,New Jersey,2.8
2022,August,New Jersey,3.2
2022,July,New Jersey,3.6
2022,June,New Jersey,3.6
2022,May,New Jersey,3.5
2022,April,New Jersey,3.7
2022,March,New Jersey,4.4
2022,February,New Jersey,5.1
2022,January,New Jersey,5.6
2021,December,New Jersey,5.0
2021,November,New Jersey,5.1
2021,October,New Jersey,5.4
2021,September,New Jersey,6.0
2021,August,New Jersey,6.8
2021,July,New Jersey,7.3
2021,June,New Jersey,7.4
2021,May,New Jersey,6.7
2021,April,New Jersey,6.9
2021,March,New Jersey,7.4
2021,February,New Jersey,7.8
2021,January,New Jersey,7.7
2020,December,New Jersey,6.8
2020,November,New Jersey,6.9
2020,October,New Jersey,6.6
2020,September,New Jersey,7.2
2020,August,New Jersey,12.9
2020,July,New Jersey,14.8
2020,June,New Jersey,14.5
2020,May,New Jersey,15.5
2020,April,New Jersey,14.4
2020,March,New Jersey,4.9
2020,February,New Jersey,4.3
2020,January,New Jersey,4.3
2023,October,New Mexico,3.6
2023,September,New Mexico,3.5
2023,August,New Mexico,4.2
2023,July,New Mexico,4.8
2023,June,New Mexico,4.5
2023,May,New Mexico,3.4
2023,April,New Mexico,3.1
2023,March,New Mexico,3.1
2023,February,New Mexico,3.9
2023,January,New Mexico,3.8
2022,December,New Mexico,3.0
2022,November,New Mexico,3.1
2022,October,New Mexico,3.2
2022,September,New Mexico,3.4
2022,August,New Mexico,3.6
2022,July,New Mexico,4.2
2022,June,New Mexico,4.7
2022,May,New Mexico,3.9
2022,April,New Mexico,4.1
2022,March,New Mexico,4.5
2022,February,New Mexico,5.0
2022,January,New Mexico,5.6
2021,December,New Mexico,5.1
2021,November,New Mexico,5.5
2021,October,New Mexico,5.7
2021,September,New Mexico,6.1
2021,August,New Mexico,6.9
2021,July,New Mexico,7.9
2021,June,New Mexico,8.3
2021,May,New Mexico,7.2
2021,April,New Mexico,7.6
2021,March,New Mexico,7.8
2021,February,New Mexico,8.2
2021,January,New Mexico,8.5
2020,December,New Mexico,8.2
2020,November,New Mexico,7.9
2020,October,New Mexico,7.9
2020,September,New Mexico,8.7
2020,August,New Mexico,8.5
2020,July,New Mexico,10.0
2020,June,New Mexico,9.6
2020,May,New Mexico,9.2
2020,April,New Mexico,8.4
2020,March,New Mexico,6.3
2020,February,New Mexico,5.1
2020,January,New Mexico,5.2
2023,October,New York,4.4
2023,September,New York,4.0
2023,August,New York,4.4
2023,July,New York,4.1
2023,June,New York,4.2
2023,May,New York,3.8
2023,April,New York,3.7
2023,March,New York,4.0
2023,February,New York,4.5
2023,January,New York,4.6
2022,December,New York,3.8
2022,November,New York,3.8
2022,October,New York,3.7
2022,September,New York,3.6
2022,August,New York,4.2
2022,July,New York,4.3
2022,June,New York,4.1
2022,May,New York,4.0
2022,April,New York,4.1
2022,March,New York,4.7
2022,February,New York,5.4
2022,January,New York,5.6
2021,December,New York,4.8
2021,November,New York,5.1
2021,October,New York,5.5
2021,September,New York,5.9
2021,August,New York,6.9
2021,July,New York,7.3
2021,June,New York,7.5
2021,May,New York,7.1
2021,April,New York,7.7
2021,March,New York,8.3
2021,February,New York,9.1
2021,January,New York,9.1
2020,December,New York,8.3
2020,November,New York,8.3
2020,October,New York,8.7
2020,September,New York,10.0
2020,August,New York,10.7
2020,July,New York,13.0
2020,June,New York,13.4
2020,May,New York,16.7
2020,April,New York,15.3
2020,March,New York,5.1
2020,February,New York,4.3
2020,January,New York,4.3
2023,October,North Carolina,3.3
2023,September,North Carolina,3.2
2023,August,North Carolina,3.6
2023,July,North Carolina,3.6
2023,June,North Carolina,3.6
2023,May,North Carolina,3.4
2023,April,North Carolina,3.1
2023,March,North Carolina,3.5
2023,February,North Carolina,3.6
2023,January,North Carolina,3.7
2022,December,North Carolina,3.2
2022,November,North Carolina,3.6
2022,October,North Carolina,3.7
2022,September,North Carolina,3.4
2022,August,North Carolina,4.2
2022,July,North Carolina,3.9
2022,June,North Carolina,4.0
2022,May,North Carolina,3.6
2022,April,North Carolina,3.2
2022,March,North Carolina,3.5
2022,February,North Carolina,3.7
2022,January,North Carolina,3.9
2021,December,North Carolina,3.3
2021,November,North Carolina,3.9
2021,October,North Carolina,4.2
2021,September,North Carolina,4.2
2021,August,North Carolina,4.9
2021,July,North Carolina,5.1
2021,June,North Carolina,5.5
2021,May,North Carolina,5.2
2021,April,North Carolina,5.1
2021,March,North Carolina,5.4
2021,February,North Carolina,5.9
2021,January,North Carolina,6.0
2020,December,North Carolina,5.6
2020,November,North Carolina,5.5
2020,October,North Carolina,5.5
2020,September,North Carolina,6.3
2020,August,North Carolina,6.7
2020,July,North Carolina,9.2
2020,June,North Carolina,10.0
2020,May,North Carolina,12.0
2020,April,North Carolina,13.8
2020,March,North Carolina,4.6
2020,February,North Carolina,3.7
2020,January,North Carolina,3.9
2023,October,North Dakota,1.4
2023,September,North Dakota,1.3
2023,August,North Dakota,1.5
2023,July,North Dakota,1.9
2023,June,North Dakota,2.3
2023,May,North Dakota,1.9
2023,April,North Dakota,2.1
2023,March,North Dakota,2.5
2023,February,North Dakota,2.6
2023,January,North Dakota,2.6
2022,December,North Dakota,2.0
2022,November,North Dakota,1.7
2022,October,North Dakota,1.4
2022,September,North Dakota,1.5
2022,August,North Dakota,2.1
2022,July,North Dakota,2.0
2022,June,North Dakota,2.4
2022,May,North Dakota,1.7
2022,April,North Dakota,2.1
2022,March,North Dakota,2.7
2022,February,North Dakota,2.7
2022,January,North Dakota,2.9
2021,December,North Dakota,2.1
2021,November,North Dakota,1.9
2021,October,North Dakota,1.8
2021,September,North Dakota,2.0
2021,August,North Dakota,2.7
2021,July,North Dakota,2.8
2021,June,North Dakota,3.6
2021,May,North Dakota,2.8
2021,April,North Dakota,3.6
2021,March,North Dakota,4.3
2021,February,North Dakota,4.6
2021,January,North Dakota,4.7
2020,December,North Dakota,4.4
2020,November,North Dakota,4.3
2020,October,North Dakota,3.9
2020,September,North Dakota,4.6
2020,August,North Dakota,5.4
2020,July,North Dakota,6.1
2020,June,North Dakota,6.8
2020,May,North Dakota,7.5
2020,April,North Dakota,8.4
2020,March,North Dakota,3.0
2020,February,North Dakota,2.5
2020,January,North Dakota,2.7
2023,October,Ohio,3.5
2023,September,Ohio,3.5
2023,August,Ohio,3.7
2023,July,Ohio,3.4
2023,June,Ohio,3.8
2023,May,Ohio,3.4
2023,April,Ohio,3.2
2023,March,Ohio,4.0
2023,February,Ohio,4.2
2023,January,Ohio,4.1
2022,December,Ohio,3.5
2022,November,Ohio,3.4
2022,October,Ohio,3.7
2022,September,Ohio,3.7
2022,August,Ohio,4.2
2022,July,Ohio,4.3
2022,June,Ohio,4.4
2022,May,Ohio,3.7
2022,April,Ohio,3.7
2022,March,Ohio,4.3
2022,February,Ohio,4.7
2022,January,Ohio,4.8
2021,December,Ohio,3.5
2021,November,Ohio,3.6
2021,October,Ohio,3.9
2021,September,Ohio,4.3
2021,August,Ohio,4.8
2021,July,Ohio,5.4
2021,June,Ohio,6.0
2021,May,Ohio,5.1
2021,April,Ohio,5.5
2021,March,Ohio,6.0
2021,February,Ohio,6.5
2021,January,Ohio,6.8
2020,December,Ohio,5.9
2020,November,Ohio,5.7
2020,October,Ohio,6.2
2020,September,Ohio,7.6
2020,August,Ohio,8.1
2020,July,Ohio,10.1
2020,June,Ohio,11.4
2020,May,Ohio,13.4
2020,April,Ohio,15.9
2020,March,Ohio,5.3
2020,February,Ohio,4.7
2020,January,Ohio,5.1
2023,October,Oklahoma,3.4
2023,September,Oklahoma,3.4
2023,August,Oklahoma,3.3
2023,July,Oklahoma,3.1
2023,June,Oklahoma,3.0
2023,May,Oklahoma,2.9
2023,April,Oklahoma,2.2
2023,March,Oklahoma,2.9
2023,February,Oklahoma,3.1
2023,January,Oklahoma,3.2
2022,December,Oklahoma,2.6
2022,November,Oklahoma,2.9
2022,October,Oklahoma,3.1
2022,September,Oklahoma,3.0
2022,August,Oklahoma,3.3
2022,July,Oklahoma,3.1
2022,June,Oklahoma,3.4
2022,May,Oklahoma,3.0
2022,April,Oklahoma,2.6
2022,March,Oklahoma,2.8
2022,February,Oklahoma,3.2
2022,January,Oklahoma,3.2
2021,December,Oklahoma,2.5
2021,November,Oklahoma,2.7
2021,October,Oklahoma,3.0
2021,September,Oklahoma,3.0
2021,August,Oklahoma,3.7
2021,July,Oklahoma,4.2
2021,June,Oklahoma,5.0
2021,May,Oklahoma,4.4
2021,April,Oklahoma,4.6
2021,March,Oklahoma,4.4
2021,February,Oklahoma,5.2
2021,January,Oklahoma,5.3
2020,December,Oklahoma,5.1
2020,November,Oklahoma,5.2
2020,October,Oklahoma,5.2
2020,September,Oklahoma,5.8
2020,August,Oklahoma,6.1
2020,July,Oklahoma,7.6
2020,June,Oklahoma,8.5
2020,May,Oklahoma,10.0
2020,April,Oklahoma,12.1
2020,March,Oklahoma,3.6
2020,February,Oklahoma,3.2
2020,January,Oklahoma,3.3
2023,October,Oregon,3.3
2023,September,Oregon,3.5
2023,August,Oregon,3.8
2023,July,Oregon,3.8
2023,June,Oregon,3.5
2023,May,Oregon,3.2
2023,April,Oregon,2.8
2023,March,Oregon,3.6
2023,February,Oregon,4.6
2023,January,Oregon,5.0
2022,December,Oregon,4.6
2022,November,Oregon,4.5
2022,October,Oregon,4.5
2022,September,Oregon,4.2
2022,August,Oregon,4.7
2022,July,Oregon,4.3
2022,June,Oregon,4.1
2022,May,Oregon,3.4
2022,April,Oregon,3.6
2022,March,Oregon,4.0
2022,February,Oregon,4.0
2022,January,Oregon,4.4
2021,December,Oregon,3.6
2021,November,Oregon,3.6
2021,October,Oregon,3.8
2021,September,Oregon,4.3
2021,August,Oregon,5.0
2021,July,Oregon,5.1
2021,June,Oregon,5.8
2021,May,Oregon,5.3
2021,April,Oregon,5.8
2021,March,Oregon,6.6
2021,February,Oregon,6.7
2021,January,Oregon,7.1
2020,December,Oregon,6.3
2020,November,Oregon,6.0
2020,October,Oregon,6.3
2020,September,Oregon,7.3
2020,August,Oregon,7.8
2020,July,Oregon,9.7
2020,June,Oregon,10.3
2020,May,Oregon,11.7
2020,April,Oregon,13.5
2020,March,Oregon,4.7
2020,February,Oregon,3.7
2020,January,Oregon,3.9
2023,October,Pennsylvania,3.2
2023,September,Pennsylvania,3.1
2023,August,Pennsylvania,4.3
2023,July,Pennsylvania,3.8
2023,June,Pennsylvania,3.8
2023,May,Pennsylvania,3.6
2023,April,Pennsylvania,3.2
2023,March,Pennsylvania,3.8
2023,February,Pennsylvania,4.6
2023,January,Pennsylvania,4.5
2022,December,Pennsylvania,3.8
2022,November,Pennsylvania,3.9
2022,October,Pennsylvania,3.9
2022,September,Pennsylvania,3.9
2022,August,Pennsylvania,5.2
2022,July,Pennsylvania,4.9
2022,June,Pennsylvania,4.7
2022,May,Pennsylvania,4.1
2022,April,Pennsylvania,4.0
2022,March,Pennsylvania,4.3
2022,February,Pennsylvania,4.7
2022,January,Pennsylvania,4.9
2021,December,Pennsylvania,3.8
2021,November,Pennsylvania,4.2
2021,October,Pennsylvania,4.8
2021,September,Pennsylvania,5.1
2021,August,Pennsylvania,6.3
2021,July,Pennsylvania,6.7
2021,June,Pennsylvania,6.7
2021,May,Pennsylvania,6.2
2021,April,Pennsylvania,6.3
2021,March,Pennsylvania,6.8
2021,February,Pennsylvania,7.4
2021,January,Pennsylvania,7.6
2020,December,Pennsylvania,7.9
2020,November,Pennsylvania,7.4
2020,October,Pennsylvania,7.5
2020,September,Pennsylvania,8.6
2020,August,Pennsylvania,9.4
2020,July,Pennsylvania,11.4
2020,June,Pennsylvania,12.0
2020,May,Pennsylvania,13.0
2020,April,Pennsylvania,15.2
2020,March,Pennsylvania,5.4
2020,February,Pennsylvania,4.7
2020,January,Pennsylvania,4.8
2023,October,Rhode Island,2.8
2023,September,Rhode Island,2.3
2023,August,Rhode Island,3.1
2023,July,Rhode Island,2.4
2023,June,Rhode Island,3.0
2023,May,Rhode Island,2.8
2023,April,Rhode Island,2.5
2023,March,Rhode Island,3.6
2023,February,Rhode Island,3.9
2023,January,Rhode Island,3.6
2022,December,Rhode Island,2.3
2022,November,Rhode Island,3.0
2022,October,Rhode Island,2.7
2022,September,Rhode Island,2.9
2022,August,Rhode Island,4.0
2022,July,Rhode Island,3.3
2022,June,Rhode Island,2.9
2022,May,Rhode Island,2.8
2022,April,Rhode Island,2.8
2022,March,Rhode Island,3.2
2022,February,Rhode Island,4.1
2022,January,Rhode Island,4.2
2021,December,Rhode Island,3.2
2021,November,Rhode Island,3.8
2021,October,Rhode Island,4.0
2021,September,Rhode Island,4.6
2021,August,Rhode Island,6.1
2021,July,Rhode Island,6.1
2021,June,Rhode Island,6.3
2021,May,Rhode Island,5.8
2021,April,Rhode Island,5.6
2021,March,Rhode Island,6.0
2021,February,Rhode Island,7.1
2021,January,Rhode Island,7.5
2020,December,Rhode Island,6.8
2020,November,Rhode Island,6.5
2020,October,Rhode Island,6.0
2020,September,Rhode Island,9.2
2020,August,Rhode Island,10.5
2020,July,Rhode Island,12.1
2020,June,Rhode Island,12.8
2020,May,Rhode Island,15.9
2020,April,Rhode Island,17.8
2020,March,Rhode Island,4.8
2020,February,Rhode Island,4.1
2020,January,Rhode Island,4.0
2023,October,South Carolina,3.0
2023,September,South Carolina,2.6
2023,August,South Carolina,2.4
2023,July,South Carolina,3.5
2023,June,South Carolina,3.5
2023,May,South Carolina,2.8
2023,April,South Carolina,2.4
2023,March,South Carolina,3.4
2023,February,South Carolina,3.7
2023,January,South Carolina,3.5
2022,December,South Carolina,3.0
2022,November,South Carolina,2.8
2022,October,South Carolina,3.3
2022,September,South Carolina,3.0
2022,August,South Carolina,3.5
2022,July,South Carolina,3.4
2022,June,South Carolina,3.5
2022,May,South Carolina,3.0
2022,April,South Carolina,2.6
2022,March,South Carolina,3.2
2022,February,South Carolina,3.8
2022,January,South Carolina,3.9
2021,December,South Carolina,3.2
2021,November,South Carolina,3.1
2021,October,South Carolina,3.3
2021,September,South Carolina,3.3
2021,August,South Carolina,4.1
2021,July,South Carolina,4.3
2021,June,South Carolina,4.5
2021,May,South Carolina,3.6
2021,April,South Carolina,3.7
2021,March,South Carolina,4.3
2021,February,South Carolina,4.8
2021,January,South Carolina,5.1
2020,December,South Carolina,5.0
2020,November,South Carolina,4.8
2020,October,South Carolina,5.0
2020,September,South Carolina,5.6
2020,August,South Carolina,6.1
2020,July,South Carolina,7.4
2020,June,South Carolina,8.0
2020,May,South Carolina,9.2
2020,April,South Carolina,11.1
2020,March,South Carolina,3.4
2020,February,South Carolina,3.2
2020,January,South Carolina,3.2
2023,October,South Dakota,2.1
2023,September,South Dakota,1.7
2023,August,South Dakota,2.0
2023,July,South Dakota,1.7
2023,June,South Dakota,2.0
2023,May,South Dakota,1.9
2023,April,South Dakota,2.0
2023,March,South Dakota,1.8
2023,February,South Dakota,2.5
2023,January,South Dakota,2.1
2022,December,South Dakota,2.2
2022,November,South Dakota,1.9
2022,October,South Dakota,2.0
2022,September,South Dakota,1.7
2022,August,South Dakota,2.3
2022,July,South Dakota,1.8
2022,June,South Dakota,2.2
2022,May,South Dakota,1.9
2022,April,South Dakota,2.0
2022,March,South Dakota,2.2
2022,February,South Dakota,2.5
2022,January,South Dakota,2.3
2021,December,South Dakota,2.1
2021,November,South Dakota,1.9
2021,October,South Dakota,2.2
2021,September,South Dakota,2.0
2021,August,South Dakota,2.7
2021,July,South Dakota,2.4
2021,June,South Dakota,3.0
2021,May,South Dakota,2.6
2021,April,South Dakota,3.0
2021,March,South Dakota,3.1
2021,February,South Dakota,3.5
2021,January,South Dakota,3.2
2020,December,South Dakota,3.4
2020,November,South Dakota,3.0
2020,October,South Dakota,2.9
2020,September,South Dakota,3.4
2020,August,South Dakota,4.1
2020,July,South Dakota,4.5
2020,June,South Dakota,5.1
2020,May,South Dakota,6.6
2020,April,South Dakota,8.9
2020,March,South Dakota,3.1
2020,February,South Dakota,2.9
2020,January,South Dakota,2.8
2023,October,Tennessee,3.6
2023,September,Tennessee,3.4
