year,month,state,value
2020,May,Alaska,12.3
2020,April,Alaska,12.0
2020,March,Alaska,7.0
2020,February,Alaska,5.6
2020,January,Alaska,5.9
2023,October,Arizona,4.4
2023,September,Arizona,4.3
2023,August,Arizona,4.6
2023,July,Arizona,4.7
2023,June,Arizona,4.4
2023,May,Arizona,3.6
2023,April,Arizona,3.2
2023,March,Arizona,3.2
2023,February,Arizona,3.2
2023,January,Arizona,3.2
2022,December,Arizona,3.3
2022,November,Arizona,3.6
2022,October,Arizona,3.9
2022,September,Arizona,4.0
2022,August,Arizona,4.5
2022,July,Arizona,4.3
2022,June,Arizona,4.3
2022,May,Arizona,3.7
2022,April,Arizona,3.5
2022,March,Arizona,3.3
2022,February,Arizona,3.6
2022,January,Arizona,3.8
2021,December,Arizona,3.2
2021,November,Arizona,3.4
2021,October,Arizona,3.8
2021,September,Arizona,4.4
2021,August,Arizona,4.9
2021,July,Arizona,5.4
2021,June,Arizona,6.0
2021,May,Arizona,5.5
2021,April,Arizona,5.7
2021,March,Arizona,5.8
2021,February,Arizona,6.2
2021,January,Arizona,6.5
2020,December,Arizona,6.4
2020,November,Arizona,6.3
2020,October,Arizona,6.6
2020,September,Arizona,7.5
2020,August,Arizona,8.1
2020,July,Arizona,9.8
2020,June,Arizona,10.1
2020,May,Arizona,11.2
2020,April,Arizona,13.3
2020,March,Arizona,5.4
2020,February,Arizona,4.5
2020,January,Arizona,4.8
2023,October,Arkansas,2.8
2023,September,Arkansas,3.2
2023,August,Arkansas,3.3
2023,July,Arkansas,3.3
2023,June,Arkansas,3.1
2023,May,Arkansas,2.5
2023,April,Arkansas,2.5
2023,March,Arkansas,2.6
2023,February,Arkansas,2.9
2023,January,Arkansas,3.6
2022,December,Arkansas,2.9
2022,November,Arkansas,2.9
2022,October,Arkansas,2.8
2022,September,Arkansas,3.2
2022,August,Arkansas,3.5
2022,July,Arkansas,3.9
2022,June,Arkansas,3.7
2022,May,Arkansas,3.2
2022,April,Arkansas,2.9
2022,March,Arkansas,3.2
2022,February,Arkansas,3.8
2022,January,Arkansas,3.8
2021,December,Arkansas,2.8
2021,November,Arkansas,2.6
2021,October,Arkansas,2.7
2021,September,Arkansas,3.3
2021,August,Arkansas,3.8
2021,July,Arkansas,4.5
2021,June,Arkansas,4.8
2021,May,Arkansas,4.3
2021,April,Arkansas,4.2
2021,March,Arkansas,4.7
2021,February,Arkansas,5.4
2021,January,Arkansas,5.5
2020,December,Arkansas,4.8
2020,November,Arkansas,4.5
2020,October,Arkansas,4.6
2020,September,Arkansas,5.8
2020,August,Arkansas,6.3
2020,July,Arkansas,8.1
2020,June,Arkansas,8.2
2020,May,Arkansas,8.9
2020,April,Arkansas,9.6
2020,March,Arkansas,5.3
2020,February,Arkansas,3.9
2020,January,Arkansas,4.0
2023,October,California,4.8
2023,September,California,4.9
2023,August,California,5.1
2023,July,California,4.8
2023,June,California,4.9
2023,May,California,4.5
2023,April,California,4.3
2023,March,California,4.8
2023,February,California,4.8
2023,January,California,4.6
2022,December,California,3.9
2022,November,California,4.0
2022,October,California,3.9
2022,September,California,3.7
2022,August,California,4.1
2022,July,California,4.1
2022,June,California,4.1
2022,May,California,3.7
2022,April,California,4.0
2022,March,California,4.5
2022,February,California,5.0
2022,January,California,5.6
2021,December,California,5.0
2021,November,California,5.3
2021,October,California,5.9
2021,September,California,6.2
2021,August,California,7.3
2021,July,California,7.8
2021,June,California,8.2
2021,May,California,7.5
2021,April,California,8.2
2021,March,California,8.5
2021,February,California,8.7
2021,January,California,9.1
2020,December,California,8.9
2020,November,California,8.7
2020,October,California,8.8
2020,September,California,9.9
2020,August,California,11.8
2020,July,California,13.7
2020,June,California,14.0
2020,May,California,15.7
2020,April,California,15.8
2020,March,California,6.3
2020,February,California,4.4
2020,January,California,4.5
2023,October,Colorado,3.2
2023,September,Colorado,3.2
2023,August,Colorado,3.5
2023,July,Colorado,3.5
2023,June,Colorado,3.4
2023,May,Colorado,2.8
2023,April,Colorado,2.4
2023,March,Colorado,2.7
2023,February,Colorado,3.2
2023,January,Colorado,3.0
2022,December,Colorado,2.5
2022,November,Colorado,2.8
2022,October,Colorado,2.7
2022,September,Colorado,2.5
2022,August,Colorado,2.8
2022,July,Colorado,2.9
2022,June,Colorado,3.0
2022,May,Colorado,2.7
2022,April,Colorado,3.0
2022,March,Colorado,3.4
2022,February,Colorado,4.0
2022,January,Colorado,4.2
2021,December,Colorado,3.9
2021,November,Colorado,4.1
2021,October,Colorado,4.6
2021,September,Colorado,4.7
2021,August,Colorado,5.3
2021,July,Colorado,5.6
2021,June,Colorado,6.2
2021,May,Colorado,5.8
2021,April,Colorado,6.1
2021,March,Colorado,6.2
2021,February,Colorado,6.3
2021,January,Colorado,6.6
2020,December,Colorado,6.4
2020,November,Colorado,6.1
2020,October,Colorado,5.9
2020,September,Colorado,6.2
2020,August,Colorado,6.0
2020,July,Colorado,6.7
2020,June,Colorado,11.3
2020,May,Colorado,11.7
2020,April,Colorado,10.9
2020,March,Colorado,3.9
2020,February,Colorado,3.3
2020,January,Colorado,3.1
2023,October,Connecticut,3.4
2023,September,Connecticut,2.9
2023,August,Connecticut,3.5
2023,July,Connecticut,3.9
2023,June,Connecticut,4.0
2023,May,Connecticut,3.7
2023,April,Connecticut,3.0
2023,March,Connecticut,4.3
2023,February,Connecticut,4.6
2023,January,Connecticut,4.2
2022,December,Connecticut,3.2
2022,November,Connecticut,3.4
2022,October,Connecticut,3.7
2022,September,Connecticut,3.6
2022,August,Connecticut,4.1
2022,July,Connecticut,4.3
2022,June,Connecticut,4.3
2022,May,Connecticut,4.2
2022,April,Connecticut,4.0
2022,March,Connecticut,4.5
2022,February,Connecticut,5.2
2022,January,Connecticut,5.4
2021,December,Connecticut,4.3
2021,November,Connecticut,4.6
2021,October,Connecticut,5.3
2021,September,Connecticut,5.5
2021,August,Connecticut,6.3
2021,July,Connecticut,6.7
2021,June,Connecticut,7.0
2021,May,Connecticut,6.7
2021,April,Connecticut,6.7
